
> dev
> vite


  VITE v5.2.11  ready in 88 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.32.4:5173/

  LARAVEL v11.14.0  plugin v1.0.2

  ➜  APP_URL: http://localhost
9:21:56 PM [vite] page reload resources/views/components/header/search.blade.php
9:22:40 PM [vite] page reload resources/views/components/header/search.blade.php
9:22:40 PM [vite] page reload resources/views/components/header/search.blade.php
9:23:07 PM [vite] page reload resources/views/components/header/search.blade.php
9:23:07 PM [vite] page reload resources/views/components/header/search.blade.php
9:23:30 PM [vite] page reload resources/views/components/header/search.blade.php
9:23:30 PM [vite] page reload resources/views/components/header/search.blade.php
9:23:57 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:23:57 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:24:41 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:24:41 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:24:59 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:24:59 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:25:12 PM [vite] page reload resources/views/components/header/search.blade.php
9:25:12 PM [vite] page reload resources/views/components/header/search.blade.php
9:25:51 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:25:51 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:27:28 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:27:28 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:28:28 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:28:28 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:30:48 PM [vite] page reload resources/views/components/header/logo.blade.php
9:30:48 PM [vite] page reload resources/views/components/header/logo.blade.php
9:31:31 PM [vite] page reload resources/views/components/header/logo.blade.php
9:31:31 PM [vite] page reload resources/views/components/header/logo.blade.php
9:32:01 PM [vite] page reload resources/views/components/header/logo.blade.php
9:32:01 PM [vite] page reload resources/views/components/header/logo.blade.php
9:54:24 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:54:24 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:55:49 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:55:49 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:56:19 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:56:19 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:57:39 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:57:39 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:58:57 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:58:57 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:59:33 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:59:33 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:00:21 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:00:21 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:03:17 PM [vite] page reload resources/views/components/main/index-with-background.blade.php
10:03:17 PM [vite] page reload resources/views/components/main/index-with-background.blade.php
10:04:24 PM [vite] page reload resources/views/components/main/index.blade.php
10:04:24 PM [vite] page reload resources/views/components/main/index.blade.php
10:04:52 PM [vite] page reload resources/views/components/main/index.blade.php
